league,season,team_x,player,nation_,pos_,age_,born_,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Performance_Saves,first_name,second_name,team_y,now_cost,selected_by_percent,total_points,element_type,threat,creativity,influence,team_name,full_name
ENG-Premier League,2526,Manchester Utd,Altay Bayındır,TUR,GK,28-022,1998,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,13,Altay,Bayındır,14,47,0.3,11,1,0.0,10.0,118.4,Man Utd,Altay Bayındır
ENG-Premier League,2526,Manchester Utd,Amad Diallo,CIV,MF,23-299,2002,29,24,2087,23.2,2,2,4,2,0,0,2,0,0.09,0.09,0.17,0.09,0.17,,Amad,Diallo,14,62,1.3,82,3,533.0,564.2,403.8,Man Utd,Amad Diallo
ENG-Premier League,2526,Manchester Utd,Ayden Heaven,ENG,DF,19-226,2006,17,11,924,10.3,0,1,1,0,0,0,2,0,0.0,0.1,0.1,0.0,0.1,,Ayden,Heaven,14,37,2.6,42,2,26.0,32.0,233.6,Man Utd,Ayden Heaven
ENG-Premier League,2526,Manchester Utd,Bendito Mantato,ENG,MF,18-101,2008,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,Bendito,Mantato,14,45,0.0,1,3,0.0,11.7,2.2,Man Utd,Bendito Mantato
ENG-Premier League,2526,Manchester Utd,Bryan Mbeumo,CMR,"MF,FW",26-272,1999,30,29,2441,27.1,9,3,12,9,0,0,4,0,0.33,0.11,0.44,0.33,0.44,,Bryan,Mbeumo,14,83,15.2,132,3,797.0,783.8,565.4,Man Utd,Bryan Mbeumo
ENG-Premier League,2526,Manchester Utd,Harry Maguire,ENG,DF,33-062,1993,20,16,1383,15.4,1,2,3,1,0,0,3,1,0.07,0.13,0.2,0.07,0.2,,Harry,Maguire,14,44,1.4,81,2,175.0,50.7,334.2,Man Utd,Harry Maguire
ENG-Premier League,2526,Manchester Utd,Jack Fletcher,ENG,MF,19-048,2007,3,0,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,Jack,Fletcher,14,43,0.1,3,3,5.0,24.4,18.6,Man Utd,Jack Fletcher
ENG-Premier League,2526,Manchester Utd,Joshua Zirkzee,NED,"FW,MF",24-349,2001,21,4,534,5.9,2,1,3,2,0,0,2,0,0.34,0.17,0.51,0.34,0.51,,Joshua,Zirkzee,14,58,0.4,40,4,203.0,165.6,155.6,Man Utd,Joshua Zirkzee
ENG-Premier League,2526,Manchester Utd,Kobbie Mainoo,ENG,MF,21-017,2005,25,13,1392,15.5,1,2,3,1,0,0,1,0,0.06,0.13,0.19,0.06,0.19,,Kobbie,Mainoo,14,47,1.2,67,3,76.0,312.5,333.4,Man Utd,Kobbie Mainoo
ENG-Premier League,2526,Manchester Utd,Leny Yoro,FRA,DF,20-174,2005,31,18,1723,19.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,Leny,Yoro,14,41,1.2,55,2,124.0,82.8,319.0,Man Utd,Leny Yoro
ENG-Premier League,2526,Manchester Utd,Lisandro Martínez,ARG,DF,28-108,1998,15,10,963,10.7,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,,Lisandro,Martínez,14,48,0.4,42,2,10.0,82.5,251.0,Man Utd,Lisandro Martínez
ENG-Premier League,2526,Manchester Utd,Luke Shaw,ENG,DF,30-298,1995,35,35,2958,32.9,0,1,1,0,0,0,8,0,0.0,0.03,0.03,0.0,0.03,,Luke,Shaw,14,45,0.9,101,2,79.0,307.7,509.4,Man Utd,Luke Shaw
ENG-Premier League,2526,Manchester Utd,Mason Mount,ENG,MF,27-116,1999,20,10,844,9.4,3,0,3,3,0,0,1,0,0.32,0.0,0.32,0.32,0.32,,Mason,Mount,14,59,0.3,52,3,160.0,209.2,185.6,Man Utd,Mason Mount
ENG-Premier League,2526,Manchester Utd,Matthijs de Ligt,NED,DF,26-267,1999,13,13,1170,13.0,1,0,1,1,0,0,0,0,0.08,0.0,0.08,0.08,0.08,,Matthijs,de Ligt,14,49,1.8,43,2,122.0,60.2,276.6,Man Utd,Matthijs de Ligt
ENG-Premier League,2526,Manchester Utd,Noussair Mazraoui,MAR,"DF,MF",28-173,1997,18,9,822,9.1,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,,Noussair,Mazraoui,14,49,0.2,47,2,35.0,109.1,195.8,Man Utd,Noussair Mazraoui
ENG-Premier League,2526,Manchester Utd,Patrick Dorgu,DEN,MF,21-192,2004,23,14,1351,15.0,3,3,6,3,0,0,5,0,0.2,0.2,0.4,0.2,0.4,,Patrick,Dorgu,14,41,2.4,76,2,269.0,365.7,403.0,Man Utd,Patrick Dorgu
ENG-Premier League,2526,Manchester Utd,Senne Lammens,BEL,GK,23-303,2002,29,29,2610,29.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,74,Senne,Lammens,14,51,3.3,102,1,2.0,0.0,597.6,Man Utd,Senne Lammens
ENG-Premier League,2526,Manchester Utd,Shea Lacey,ENG,FW,19-022,2007,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,Shea,Lacey,14,45,0.0,2,3,11.0,1.5,4.0,Man Utd,Shea Lacey
ENG-Premier League,2526,Manchester Utd,Tyler Fletcher,SCO,MF,19-048,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,Tyler,Fletcher,14,44,0.0,1,3,0.0,1.0,0.4,Man Utd,Tyler Fletcher
ENG-Premier League,2526,Manchester Utd,Tyler Fredricson,ENG,DF,21-072,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,Tyler,Fredricson,14,37,0.2,1,2,0.0,0.0,4.0,Man Utd,Tyler Fredricson
ENG-Premier League,2526,Manchester Utd,Tyrell Malacia,NED,DF,26-262,1999,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,Tyrell,Malacia,14,37,0.5,2,2,0.0,0.5,3.6,Man Utd,Tyrell Malacia
ENG-Premier League,2526,Newcastle United,Aaron Ramsdale,ENG,GK,27-357,1998,12,11,1004,11.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,24,Aaron,Ramsdale,15,48,0.8,25,1,0.0,10.0,212.8,Newcastle,Aaron Ramsdale
ENG-Premier League,2526,Newcastle United,Alex Murphy,IRL,DF,21-315,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,Alex,Murphy,15,38,0.7,1,2,0.0,0.0,2.2,Newcastle,Alex Murphy
ENG-Premier League,2526,Newcastle United,Anthony Elanga,SWE,"FW,MF",24-009,2002,30,14,1288,14.3,0,1,1,0,0,0,0,0,0.0,0.07,0.07,0.0,0.07,,Anthony,Elanga,15,65,2.6,46,3,179.0,266.1,129.6,Newcastle,Anthony Elanga
ENG-Premier League,2526,Newcastle United,Anthony Gordon,ENG,FW,25-071,2001,26,24,1795,19.9,6,2,8,3,3,3,3,1,0.3,0.1,0.4,0.15,0.25,,Anthony,Gordon,15,73,3.5,101,3,514.0,404.2,393.8,Newcastle,Anthony Gordon
ENG-Premier League,2526,Newcastle United,Dan Burn,ENG,DF,33-362,1992,26,23,2010,22.3,1,2,3,1,0,0,11,1,0.04,0.09,0.13,0.04,0.13,,Dan,Burn,15,50,3.5,91,2,186.0,96.0,507.4,Newcastle,Dan Burn
ENG-Premier League,2526,Newcastle United,Emil Krafth,SWE,DF,31-277,1994,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,Emil,Krafth,15,43,0.0,0,2,0.0,1.2,1.4,Newcastle,Emil Krafth
ENG-Premier League,2526,Newcastle United,Fabian Schär,SUI,DF,34-137,1991,16,11,1091,12.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,Fabian,Schär,15,52,1.1,51,2,108.0,63.6,291.2,Newcastle,Fabian Schär
ENG-Premier League,2526,Newcastle United,Harvey Barnes,ENG,"FW,MF",28-148,1997,34,18,1817,20.2,6,0,6,6,0,0,1,0,0.3,0.0,0.3,0.3,0.3,,Harvey,Barnes,15,61,1.1,100,3,643.0,350.6,379.4,Newcastle,Harvey Barnes
ENG-Premier League,2526,Newcastle United,Jacob Murphy,ENG,"FW,MF",31-071,1995,30,17,1496,16.6,3,2,5,3,0,0,2,0,0.18,0.12,0.3,0.18,0.3,,Jacob,Murphy,15,59,0.6,80,3,331.0,377.3,311.6,Newcastle,Jacob Murphy
ENG-Premier League,2526,Newcastle United,Jacob Ramsey,ENG,MF,24-343,2001,25,13,1240,13.8,2,1,3,2,0,0,5,1,0.15,0.07,0.22,0.15,0.22,,Jacob,Ramsey,15,53,0.2,49,3,155.0,296.9,250.0,Newcastle,Jacob Ramsey
ENG-Premier League,2526,Newcastle United,Jamaal Lascelles,ENG,DF,32-176,1993,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,Jamaal,Lascelles,15,43,0.0,1,2,7.0,0.0,10.2,Newcastle,Jamaal Lascelles
ENG-Premier League,2526,Newcastle United,Joe Willock,ENG,MF,26-259,1999,22,9,855,9.5,0,1,1,0,0,0,3,0,0.0,0.11,0.11,0.0,0.11,,Joe,Willock,15,50,0.1,32,3,171.0,162.0,105.4,Newcastle,Joe Willock
ENG-Premier League,2526,Newcastle United,Kieran Trippier,ENG,DF,35-229,1990,19,17,1501,16.7,0,1,1,0,0,0,3,0,0.0,0.06,0.06,0.0,0.06,,Kieran,Trippier,15,49,1.4,52,2,14.0,466.0,276.6,Newcastle,Kieran Trippier
ENG-Premier League,2526,Newcastle United,Lewis Hall,ENG,DF,21-240,2004,27,21,1911,21.2,1,1,2,1,0,0,3,0,0.05,0.05,0.09,0.05,0.09,,Lewis,Hall,15,53,3.3,77,2,157.0,397.4,526.8,Newcastle,Lewis Hall
ENG-Premier League,2526,Newcastle United,Lewis Miley,ENG,"MF,DF",20-005,2006,23,15,1496,16.6,1,4,5,1,0,0,0,0,0.06,0.24,0.3,0.06,0.3,,Lewis,Miley,15,44,1.8,72,3,136.0,251.4,342.6,Newcastle,Lewis Miley
ENG-Premier League,2526,Newcastle United,Malick Thiaw,GER,DF,24-271,2001,32,30,2695,29.9,4,0,4,4,0,0,4,0,0.13,0.0,0.13,0.13,0.13,,Malick,Thiaw,15,49,4.8,123,2,409.0,111.2,832.0,Newcastle,Malick Thiaw
ENG-Premier League,2526,Newcastle United,Nick Pope,ENG,GK,34-017,1992,24,24,2146,23.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,78,Nick,Pope,15,50,4.2,90,1,35.0,0.0,589.0,Newcastle,Nick Pope
ENG-Premier League,2526,Newcastle United,Nick Woltemade,GER,"FW,MF",24-081,2002,30,21,1692,18.8,7,3,10,6,1,1,0,0,0.37,0.16,0.53,0.32,0.48,,Nick,Woltemade,15,67,6.4,98,4,396.0,242.5,397.8,Newcastle,Nick Woltemade
ENG-Premier League,2526,Newcastle United,Sandro Tonali,ITA,MF,25-363,2000,33,29,2392,26.6,0,2,2,0,0,0,4,0,0.0,0.08,0.08,0.0,0.08,,Sandro,Tonali,15,53,1.1,80,3,194.0,520.0,392.0,Newcastle,Sandro Tonali
ENG-Premier League,2526,Newcastle United,Sven Botman,NED,DF,26-114,2000,22,18,1565,17.4,1,1,2,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,,Sven,Botman,15,49,0.4,82,2,185.0,84.8,533.2,Newcastle,Sven Botman
ENG-Premier League,2526,Newcastle United,William Osula,DEN,FW,22-275,2003,21,5,600,6.7,5,0,5,5,0,0,0,0,0.75,0.0,0.75,0.75,0.75,,William,Osula,15,54,1.0,61,4,248.0,81.2,186.4,Newcastle,William Osula
ENG-Premier League,2526,Newcastle United,Yoane Wissa,COD,FW,29-245,1996,16,4,480,5.3,1,0,1,1,0,0,2,0,0.19,0.0,0.19,0.19,0.19,,Yoane,Wissa,15,73,0.6,26,4,161.0,36.3,54.0,Newcastle,Yoane Wissa
ENG-Premier League,2526,Nottingham Forest,Angus Gunn,SCO,GK,30-104,1996,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,Angus,Gunn,16,40,1.1,1,1,0.0,0.0,1.2,Nott'm Forest,Angus Gunn
ENG-Premier League,2526,Nottingham Forest,Arnaud Kalimuendo,FRA,FW,24-106,2002,9,0,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,Arnaud,Kalimuendo,16,60,0.1,9,4,39.0,17.7,6.8,Nott'm Forest,Arnaud Kalimuendo
ENG-Premier League,2526,Nottingham Forest,Callum Hudson-Odoi,ENG,MF,25-180,2000,30,21,1841,20.5,3,4,7,3,0,0,0,0,0.15,0.2,0.34,0.15,0.34,,Callum,Hudson-Odoi,16,57,0.6,88,3,330.0,611.7,366.6,Nott'm Forest,Callum Hudson-Odoi
ENG-Premier League,2526,Nottingham Forest,Chris Wood,NZL,FW,34-150,1991,12,9,753,8.4,3,0,3,3,0,0,0,0,0.36,0.0,0.36,0.36,0.36,,Chris,Wood,16,71,4.7,37,4,231.0,69.8,134.4,Nott'm Forest,Chris Wood
ENG-Premier League,2526,Nottingham Forest,Dan Ndoye,SUI,MF,25-193,2000,24,14,1173,13.0,1,1,2,1,0,0,1,0,0.08,0.08,0.15,0.08,0.15,,Dan,Ndoye,16,55,0.7,50,3,180.0,217.7,166.4,Nott'm Forest,Dan Ndoye
ENG-Premier League,2526,Nottingham Forest,Dilane Bakwa,FRA,MF,23-253,2002,12,5,469,5.2,0,2,2,0,0,0,1,0,0.0,0.38,0.38,0.0,0.38,,Dilane,Bakwa,16,59,0.0,25,3,93.0,173.3,84.8,Nott'm Forest,Dilane Bakwa
ENG-Premier League,2526,Nottingham Forest,Elliot Anderson,ENG,MF,23-181,2002,35,34,3087,34.3,3,2,5,2,1,1,7,0,0.09,0.06,0.15,0.06,0.12,,Elliot,Anderson,16,56,7.1,166,3,309.0,881.2,830.4,Nott'm Forest,Elliot Anderson
ENG-Premier League,2526,Nottingham Forest,Ibrahim Sangaré,CIV,MF,28-155,1997,26,24,1990,22.1,2,2,4,2,0,0,5,0,0.09,0.09,0.18,0.09,0.18,,Ibrahim,Sangaré,16,49,0.1,84,3,126.0,201.9,407.6,Nott'm Forest,Ibrahim Sangaré
ENG-Premier League,2526,Nottingham Forest,Lorenzo Lucca,ITA,FW,25-238,2000,3,1,121,1.3,1,0,1,1,0,0,0,0,0.74,0.0,0.74,0.74,0.74,,Lorenzo,Lucca,16,53,0.0,9,4,39.0,13.0,37.2,Nott'm Forest,Lorenzo Lucca
ENG-Premier League,2526,Nottingham Forest,Luca Netz,GER,DF,22-356,2003,4,1,164,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,Luca,Netz,16,45,0.0,9,2,8.0,27.8,51.2,Nott'm Forest,Luca Netz
ENG-Premier League,2526,Nottingham Forest,Matz Sels,BEL,GK,34-069,1992,28,27,2398,26.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,85,Matz,Sels,16,46,5.0,100,1,0.0,10.0,667.2,Nott'm Forest,Matz Sels
ENG-Premier League,2526,Nottingham Forest,Morgan Gibbs-White,ENG,MF,26-099,2000,35,33,2917,32.4,13,4,17,12,1,1,1,0,0.4,0.12,0.52,0.37,0.49,,Morgan,Gibbs-White,16,75,8.4,172,3,745.0,700.3,754.8,Nott'm Forest,Morgan Gibbs-White
ENG-Premier League,2526,Nottingham Forest,Neco Williams,WAL,DF,25-023,2001,34,33,2934,32.6,2,3,5,2,0,0,6,1,0.06,0.09,0.15,0.06,0.15,,Neco,Williams,16,48,4.3,125,2,351.0,545.8,759.4,Nott'm Forest,Neco Williams
ENG-Premier League,2526,Nottingham Forest,Nicolás Domínguez,ARG,MF,27-312,1998,24,15,1035,11.5,1,1,2,1,0,0,3,0,0.09,0.09,0.17,0.09,0.17,,Nicolás,Domínguez,16,50,0.0,45,3,126.0,174.6,237.8,Nott'm Forest,Nicolás Domínguez
ENG-Premier League,2526,Nottingham Forest,Nicolò Savona,ITA,DF,23-048,2003,14,11,1028,11.4,2,0,2,2,0,0,2,0,0.18,0.0,0.18,0.18,0.18,,Nicolò,Savona,16,45,0.0,39,2,94.0,123.2,216.6,Nott'm Forest,Nicolò Savona
ENG-Premier League,2526,Nottingham Forest,Nikola Milenković,SRB,DF,28-206,1997,35,34,3105,34.5,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,,Nikola,Milenković,16,51,3.3,114,2,108.0,45.7,641.4,Nott'm Forest,Nikola Milenković
ENG-Premier League,2526,Nottingham Forest,Ola Aina,NGA,DF,29-210,1996,18,18,1588,17.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,,Ola,Aina,16,47,2.2,67,2,58.0,160.3,285.2,Nott'm Forest,Ola Aina
ENG-Premier League,2526,Nottingham Forest,Oleksandr Zinchenko,UKR,DF,29-142,1996,5,4,353,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,Oleksandr,Zinchenko,16,49,0.2,7,2,22.0,83.4,80.8,Nott'm Forest,Oleksandr Zinchenko
ENG-Premier League,2526,Nottingham Forest,Omari Hutchinson,ENG,MF,22-188,2003,28,15,1515,16.8,1,4,5,1,0,0,1,0,0.06,0.24,0.3,0.06,0.3,,Omari,Hutchinson,16,54,0.1,75,3,348.0,470.8,301.4,Nott'm Forest,Omari Hutchinson
ENG-Premier League,2526,Nottingham Forest,Ryan Yates,ENG,MF,28-166,1997,20,2,546,6.1,0,2,2,0,0,0,2,0,0.0,0.33,0.33,0.0,0.33,,Ryan,Yates,16,47,0.1,29,3,48.0,79.3,128.0,Nott'm Forest,Ryan Yates
ENG-Premier League,2526,Nottingham Forest,Taiwo Awoniyi,NGA,FW,28-267,1997,14,2,372,4.1,4,1,5,4,0,0,1,0,0.97,0.24,1.21,0.97,1.21,,Taiwo,Awoniyi,16,52,0.4,42,4,222.0,64.5,176.4,Nott'm Forest,Taiwo Awoniyi
ENG-Premier League,2526,Nottingham Forest,Zach Abbott,ENG,DF,19-358,2006,3,2,164,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,Zach,Abbott,16,38,0.2,3,2,0.0,6.4,25.4,Nott'm Forest,Zach Abbott
ENG-Premier League,2526,Sunderland,Arthur Masuaku,COD,DF,32-180,1993,3,2,126,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,Arthur,Masuaku,17,39,0.5,1,2,7.0,20.1,21.8,Sunderland,Arthur Masuaku
ENG-Premier League,2526,Sunderland,Bertrand Traoré,BFA,"MF,FW",30-242,1995,12,9,632,7.0,1,0,1,1,0,0,1,0,0.14,0.0,0.14,0.14,0.14,,Bertrand,Traoré,17,55,0.0,30,3,135.0,108.4,115.6,Sunderland,Bertrand Traoré
ENG-Premier League,2526,Sunderland,Brian Brobbey,NED,FW,24-094,2002,28,19,1701,18.9,6,1,7,6,0,0,6,0,0.32,0.05,0.37,0.32,0.37,,Brian,Brobbey,17,53,1.0,80,4,493.0,198.5,294.0,Sunderland,Brian Brobbey
ENG-Premier League,2526,Sunderland,Chemsdine Talbi,MAR,"MF,FW",20-362,2005,26,15,1452,16.1,4,1,5,4,0,0,0,0,0.25,0.06,0.31,0.25,0.31,,Chemsdine,Talbi,17,49,0.2,82,3,245.0,208.4,238.4,Sunderland,Chemsdine Talbi
ENG-Premier League,2526,Sunderland,Chris Rigg,ENG,MF,18-322,2007,16,11,746,8.3,1,0,1,1,0,0,1,0,0.12,0.0,0.12,0.12,0.12,,Chris,Rigg,17,47,0.1,31,3,101.0,131.4,96.0,Sunderland,Chris Rigg
ENG-Premier League,2526,Sunderland,Dan Neil,ENG,MF,24-144,2001,3,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,Dan,Neil,17,48,0.0,3,3,0.0,1.4,3.0,Sunderland,Dan Neil
ENG-Premier League,2526,Sunderland,Daniel Ballard,NIR,DF,26-226,1999,29,24,2149,23.9,2,0,2,2,0,0,4,1,0.08,0.0,0.08,0.08,0.08,,Daniel,Ballard,17,47,2.7,116,2,370.0,181.2,662.8,Sunderland,Daniel Ballard
ENG-Premier League,2526,Sunderland,Dennis Cirkin,LVA,DF,24-030,2002,8,3,323,3.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,,Dennis,Cirkin,17,40,0.0,14,2,10.0,9.7,59.2,Sunderland,Dennis Cirkin
ENG-Premier League,2526,Sunderland,Enzo Le Fée,FRA,"MF,FW",26-092,2000,33,30,2661,29.6,4,5,9,1,3,4,5,0,0.14,0.17,0.3,0.03,0.2,,Enzo,Le Fée,17,48,1.5,129,3,265.0,743.0,644.6,Sunderland,Enzo Le Fée
ENG-Premier League,2526,Sunderland,Granit Xhaka,SUI,MF,33-221,1992,31,29,2634,29.3,1,6,7,1,0,0,7,0,0.03,0.21,0.24,0.03,0.24,,Granit,Xhaka,17,51,3.2,121,3,99.0,582.7,665.4,Sunderland,Granit Xhaka
ENG-Premier League,2526,Sunderland,Habib Diarra,SEN,MF,22-123,2004,18,15,1361,15.1,2,1,3,1,1,1,5,0,0.13,0.07,0.2,0.07,0.13,,Habib,Diarra,17,53,0.1,61,3,222.0,124.5,145.0,Sunderland,Habib Diarra
ENG-Premier League,2526,Sunderland,Jenson Seelt,NED,DF,22-348,2003,2,1,134,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,Jenson,Seelt,17,40,0.1,2,2,0.0,2.4,33.6,Sunderland,Jenson Seelt
ENG-Premier League,2526,Sunderland,Luke O'Nien,ENG,DF,31-166,1994,10,4,411,4.6,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,,Luke,O'Nien,17,40,0.1,16,2,12.0,6.6,52.6,Sunderland,Luke O'Nien
ENG-Premier League,2526,Sunderland,Lutsharel Geertruida,NED,"DF,MF",25-292,2000,25,14,1423,15.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,Lutsharel,Geertruida,17,45,0.1,52,2,101.0,130.8,254.4,Sunderland,Lutsharel Geertruida
ENG-Premier League,2526,Sunderland,Melker Ellborg,SWE,GK,22-349,2003,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10,Melker,Ellborg,17,40,0.1,16,1,0.0,0.0,73.6,Sunderland,Melker Ellborg
ENG-Premier League,2526,Sunderland,Nilson Angulo,ECU,MF,22-321,2003,5,3,256,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,Nilson,Angulo,17,50,0.0,10,3,64.0,39.1,38.4,Sunderland,Nilson Angulo
ENG-Premier League,2526,Sunderland,Noah Sadiki,COD,MF,21-140,2004,30,30,2633,29.3,0,1,1,0,0,0,8,0,0.0,0.03,0.03,0.0,0.03,,Noah,Sadiki,17,49,0.1,77,3,162.0,306.4,339.8,Sunderland,Noah Sadiki
ENG-Premier League,2526,Sunderland,Nordi Mukiele,FRA,DF,28-186,1997,29,29,2514,27.9,3,3,6,3,0,0,5,0,0.11,0.11,0.21,0.11,0.21,,Nordi,Mukiele,17,46,8.5,145,2,213.0,329.1,698.4,Sunderland,Nordi Mukiele
ENG-Premier League,2526,Sunderland,Omar Alderete,PAR,DF,29-131,1996,31,30,2686,29.8,1,1,2,1,0,0,6,0,0.03,0.03,0.07,0.03,0.07,,Omar,Alderete,17,41,5.6,124,2,279.0,137.8,747.0,Sunderland,Omar Alderete
ENG-Premier League,2526,Sunderland,Patrick Roberts,ENG,"FW,MF",29-090,1997,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,Patrick,Roberts,17,54,0.0,1,3,5.0,7.3,1.8,Sunderland,Patrick Roberts
ENG-Premier League,2526,Sunderland,Reinildo Mandava,MOZ,DF,32-105,1994,22,20,1696,18.8,0,1,1,0,0,0,7,1,0.0,0.05,0.05,0.0,0.05,,Reinildo,Mandava,17,38,2.9,70,2,39.0,126.5,348.0,Sunderland,Reinildo Mandava
ENG-Premier League,2526,Sunderland,Robin Roefs,NED,GK,23-109,2003,32,32,2880,32.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,103,Robin,Roefs,17,48,8.2,131,1,0.0,40.0,844.8,Sunderland,Robin Roefs
ENG-Premier League,2526,Sunderland,Romaine Mundle,ENG,MF,23-012,2003,14,2,411,4.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,,Romaine,Mundle,17,49,0.0,14,3,69.0,33.6,29.4,Sunderland,Romaine Mundle
ENG-Premier League,2526,Sunderland,Simon Adingra,CIV,"MF,FW",24-125,2002,14,9,653,7.3,1,0,1,1,0,0,2,0,0.14,0.0,0.14,0.14,0.14,,Simon,Adingra,17,49,0.3,34,3,75.0,116.8,81.4,Sunderland,Simon Adingra
ENG-Premier League,2526,Sunderland,Trai Hume,NIR,"DF,MF",24-049,2002,35,31,2798,31.1,1,1,2,1,0,0,9,0,0.03,0.03,0.06,0.03,0.06,,Trai,Hume,17,45,0.3,101,2,226.0,353.6,495.2,Sunderland,Trai Hume
ENG-Premier League,2526,Sunderland,Wilson Isidor,HAI,FW,25-252,2000,30,11,1121,12.5,5,0,5,5,0,0,1,0,0.4,0.0,0.4,0.4,0.4,,Wilson,Isidor,17,50,1.3,68,4,416.0,29.5,205.0,Sunderland,Wilson Isidor
ENG-Premier League,2526,Tottenham Hotspur,Antonín Kinský,CZE,GK,23-054,2003,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7,Antonín,Kinský,18,39,1.8,14,1,0.0,0.0,76.6,Spurs,Antonín Kinský
ENG-Premier League,2526,Tottenham Hotspur,Archie Gray,ENG,"MF,DF",20-055,2006,23,18,1469,16.3,2,2,4,2,0,0,5,0,0.12,0.12,0.25,0.12,0.25,,Archie,Gray,18,48,0.1,60,3,158.0,138.1,257.2,Spurs,Archie Gray
ENG-Premier League,2526,Tottenham Hotspur,Ben Davies,WAL,DF,33-012,1993,3,2,137,1.5,1,0,1,1,0,0,1,0,0.66,0.0,0.66,0.66,0.66,,Ben,Davies,18,43,0.1,10,2,52.0,22.2,67.4,Spurs,Ben Davies
ENG-Premier League,2526,Tottenham Hotspur,Brennan Johnson,WAL,"MF,FW",24-348,2001,16,6,610,6.8,2,0,2,2,0,0,2,0,0.3,0.0,0.3,0.3,0.3,,Brennan,Johnson,8,65,2.4,62,3,226.0,295.9,213.8,Crystal Palace,Brennan Johnson
ENG-Premier League,2526,Tottenham Hotspur,Callum Olusesi,ENG,MF,19-109,2007,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,Callum,Olusesi,18,43,0.2,1,3,0.0,1.8,0.6,Spurs,Callum Olusesi
ENG-Premier League,2526,Tottenham Hotspur,Conor Gallagher,ENG,MF,26-089,2000,13,11,923,10.3,1,1,2,1,0,0,2,0,0.1,0.1,0.2,0.1,0.2,,Conor,Gallagher,18,50,0.2,39,3,126.0,172.2,175.4,Spurs,Conor Gallagher
